CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;EI02;DD01;DD03_01;FG01_01;FG01_02;FG01_03;FG01_04;FG01_05;FG01_06;FG01_07;FG01_08;FG01_09;FG01_10;FG01_11;FG02_01;KL01;TIME001;TIME002;TIME003;TIME004;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
24;;;base;interview;04.12.2021 15:32;1;1;21;3;3;2;2;4;3;1;2;4;4;4;3;1;134;5;72;4;87;;04.12.2021 15:35;1;0;4;4;0;0;0,76;3
25;;;base;interview;04.12.2021 15:33;1;1;19;4;4;1;2;3;3;1;2;4;4;3;2;1;58;16;62;11;78;;04.12.2021 15:36;1;0;4;4;0;0;0,44;0
26;;;base;interview;04.12.2021 15:39;1;2;12;2;3;1;2;1;3;2;3;3;3;1;4;1;52;13;155;8;77;;04.12.2021 15:43;1;0;4;4;0;0;0,36;0
29;;;base;interview;04.12.2021 15:57;1;1;22;3;3;1;1;2;1;1;2;3;3;1;3;1;7;5;128;3;72;;04.12.2021 15:59;1;0;4;4;0;0;0,96;7
30;;802;base;interview;04.12.2021 21:32;1;2;39;4;4;2;2;2;3;1;1;1;3;2;4;1;22;13;48;4;80;;04.12.2021 21:34;1;0;4;4;0;0;0,73;2
31;;392;base;interview;04.12.2021 23:49;1;2;20;3;2;2;1;1;4;1;2;2;4;1;3;1;4;6;43;3;56;;04.12.2021 23:50;1;0;4;4;0;0;1,29;14
32;;707;base;interview;05.12.2021 12:18;1;2;18;3;1;1;1;1;3;1;1;1;3;2;2;1;7;6;49;4;66;;05.12.2021 12:19;1;0;4;4;0;0;1,01;2
33;;748;base;interview;05.12.2021 12:49;1;2;23;2;3;1;1;1;2;1;1;2;3;2;2;1;12;7;79;6;104;;05.12.2021 12:51;1;0;4;4;0;0;0,69;0
34;;;base;interview;05.12.2021 13:39;1;1;22;4;4;3;4;4;4;1;2;4;4;4;3;1;6;8;34;4;52;;05.12.2021 13:39;1;0;4;4;0;0;1,11;8
35;;;base;interview;05.12.2021 13:39;1;2;52;4;4;2;1;1;3;1;3;4;4;3;3;1;9;8;74;3;94;;05.12.2021 13:40;1;0;4;4;0;0;0,88;4
36;;677;base;interview;05.12.2021 18:06;1;2;23;3;4;2;2;1;3;1;2;2;3;2;3;1;4;8;44;3;59;;05.12.2021 18:07;1;0;4;4;0;0;1,22;14
37;;242;base;interview;05.12.2021 18:16;1;2;45;4;4;3;1;1;2;1;2;2;3;2;3;1;8;16;109;6;129;;05.12.2021 18:18;1;0;4;4;0;0;0,58;0
38;;118;base;interview;05.12.2021 19:01;1;2;22;4;4;4;3;3;4;4;2;2;4;1;3;1;6;6;38;10;54;;05.12.2021 19:02;1;0;4;4;0;0;0,98;6
39;;428;base;interview;05.12.2021 19:13;1;1;20;2;3;1;1;2;2;1;1;2;3;4;3;1;3;5;91;5;104;;05.12.2021 19:15;1;0;4;4;0;0;1,16;15
40;;740;base;interview;05.12.2021 21:48;1;2;19;3;1;3;2;3;4;1;2;3;4;3;3;1;6;4;65;4;79;;05.12.2021 21:50;1;0;4;4;0;0;1,09;6
41;;709;base;interview;05.12.2021 23:52;1;2;19;4;3;2;2;1;3;2;2;2;4;1;4;1;10;6;52;5;73;;05.12.2021 23:53;1;0;4;4;0;0;0,87;1
42;;284;base;interview;06.12.2021 01:11;1;1;22;4;2;1;2;3;3;1;1;3;4;4;1;1;4;6;68;4;82;;06.12.2021 01:12;1;0;4;4;0;0;1,08;6
44;;693;base;interview;06.12.2021 09:05;1;3;20;4;4;2;1;1;3;2;3;3;4;3;3;1;4;4;41;3;52;;06.12.2021 09:06;1;0;4;4;0;0;1,43;22
45;;385;base;interview;06.12.2021 09:08;1;2;24;3;3;2;3;3;2;1;1;1;2;3;3;1;16;6;57;4;83;;06.12.2021 09:09;1;0;4;4;0;0;0,84;0
46;;142;base;interview;06.12.2021 09:23;1;1;21;3;3;1;1;2;2;1;2;2;4;2;3;1;8;7;145;5;77;;06.12.2021 09:26;1;0;4;4;0;0;0,7;0
47;;763;base;interview;06.12.2021 09:30;1;1;19;4;4;2;2;2;2;1;2;3;3;2;3;1;33;6;58;5;75;;06.12.2021 09:32;1;0;4;4;0;0;0,74;0
49;;423;base;interview;06.12.2021 10:52;1;2;25;4;4;2;1;1;4;1;3;4;4;4;4;1;34;5;62;4;77;;06.12.2021 10:54;1;0;4;4;0;0;0,82;3
50;;;base;interview;06.12.2021 11:12;1;2;20;4;3;2;3;4;4;1;3;3;4;3;4;1;6;4;58;3;71;;06.12.2021 11:13;1;0;4;4;0;0;1,2;10
51;;289;base;interview;06.12.2021 11:18;1;;;;;;;;;;;;;;;;7;;;;7;;06.12.2021 11:19;0;0;1;1;0;0;0,86;0
52;;289;base;interview;06.12.2021 11:19;1;2;21;2;2;1;2;2;2;1;1;2;3;2;2;1;9;7;59;4;79;;06.12.2021 11:20;1;0;4;4;0;0;0,87;0
53;;446;base;interview;06.12.2021 11:25;1;2;22;4;4;2;1;2;4;1;2;3;4;4;4;1;32;5;85;4;100;;06.12.2021 11:27;1;0;4;4;0;0;0,76;3
54;;138;base;interview;06.12.2021 11:50;1;2;19;3;3;1;1;1;1;1;2;3;3;3;2;1;26;5;71;5;87;;06.12.2021 11:52;1;0;4;4;0;0;0,76;3
55;;319;base;interview;06.12.2021 12:02;1;2;22;4;4;3;2;2;4;2;3;3;4;3;3;1;9;5;30;4;48;;06.12.2021 12:03;1;0;4;4;0;0;1,19;14
56;;251;base;interview;06.12.2021 12:03;1;2;30;2;2;1;1;2;2;1;2;3;3;3;2;2;6;4;54;4;68;;06.12.2021 12:04;1;0;4;4;0;0;1,14;7
57;;767;base;interview;06.12.2021 12:13;1;2;18;4;4;2;1;2;4;1;3;1;4;1;4;1;20;7;51;3;81;;06.12.2021 12:15;1;0;4;4;0;0;0,9;6
58;;304;base;interview;06.12.2021 12:15;1;2;28;2;2;1;1;1;2;1;1;1;3;1;3;1;4;6;61;6;77;;06.12.2021 12:16;1;0;4;4;0;0;1,03;6
59;;705;base;interview;06.12.2021 12:17;1;1;19;3;3;1;2;1;3;1;2;2;3;2;3;1;12;4;44;4;64;;06.12.2021 12:18;1;0;4;4;0;0;1,07;10
60;;694;base;interview;06.12.2021 12:21;1;2;19;3;4;1;4;1;3;1;3;4;4;1;3;1;4;5;49;4;62;;06.12.2021 12:22;1;0;4;4;0;0;1,22;11
61;;717;base;interview;06.12.2021 12:22;1;2;18;4;4;2;1;1;4;2;3;3;4;3;4;1;13;6;51;3;73;;06.12.2021 12:23;1;0;4;4;0;0;0,98;6
62;;722;base;interview;06.12.2021 12:24;1;2;20;3;3;1;3;2;4;1;1;2;3;4;3;1;5;5;52;4;66;;06.12.2021 12:25;1;0;4;4;0;0;1,12;6
63;;293;base;interview;06.12.2021 12:28;1;2;20;3;3;1;1;1;2;1;1;3;3;3;3;1;2;6;89;6;103;;06.12.2021 12:30;1;0;4;4;0;0;1,33;25
64;;776;base;interview;06.12.2021 12:35;1;2;23;4;3;2;2;2;3;1;2;2;3;3;2;1;7;7;50;6;70;;06.12.2021 12:36;1;0;4;4;0;0;0,88;2
65;;311;base;interview;06.12.2021 13:00;1;1;19;2;2;2;1;1;2;1;2;1;3;1;1;1;3;5;61;4;73;;06.12.2021 13:01;1;0;4;4;0;0;1,28;15
66;;255;base;interview;06.12.2021 13:05;1;1;20;4;3;3;2;1;4;2;4;3;4;2;3;1;5;5;42;3;55;;06.12.2021 13:06;1;0;4;4;0;0;1,27;14
67;;353;base;interview;06.12.2021 13:12;1;;;;;;;;;;;;;;;;7;;;;7;;06.12.2021 13:12;0;0;1;1;0;0;0,86;0
68;;353;base;interview;06.12.2021 13:12;1;2;19;2;3;1;1;2;1;1;1;2;4;3;3;1;4;7;53;4;68;;06.12.2021 13:13;1;0;4;4;0;0;1,11;7
69;;238;base;interview;06.12.2021 13:12;1;1;22;1;3;3;2;4;3;3;2;3;3;1;2;1;4;4;16;4;28;;06.12.2021 13:13;1;0;4;4;0;0;1,75;45
70;;697;base;interview;06.12.2021 13:19;1;2;18;4;4;2;1;1;3;1;1;2;4;1;3;1;55;7;52;4;69;;06.12.2021 13:21;1;0;4;4;0;0;0,77;1
71;;182;base;interview;06.12.2021 13:22;1;2;21;3;3;1;2;3;4;1;1;3;3;3;3;1;6;6;52;4;68;;06.12.2021 13:23;1;0;4;4;0;0;1,02;1
72;;487;base;interview;06.12.2021 13:28;1;2;28;3;2;1;2;2;3;1;1;3;3;3;2;1;18;6;57;7;88;;06.12.2021 13:30;1;0;4;4;0;0;0,73;0
73;;663;base;interview;06.12.2021 13:34;1;2;20;3;3;1;1;1;3;1;2;3;3;3;3;1;6;11;124;7;81;;06.12.2021 13:37;1;0;4;4;0;0;0,64;0
74;;220;base;interview;06.12.2021 13:52;1;1;26;4;4;3;2;1;3;2;2;1;3;2;4;1;11;5;72;9;92;;06.12.2021 13:53;1;0;4;4;0;0;0,75;3
75;;78;base;interview;06.12.2021 13:57;1;2;26;3;3;2;1;1;2;1;2;2;3;3;2;1;8;4;38;22;54;;06.12.2021 13:59;1;0;4;4;0;0;0,98;13
76;;756;base;interview;06.12.2021 14:02;1;2;20;3;2;1;1;1;2;1;1;2;3;1;2;1;14;6;39;4;63;;06.12.2021 14:03;1;0;4;4;0;0;0,97;6
77;;227;base;interview;06.12.2021 14:03;1;2;22;3;3;1;1;1;3;1;2;3;4;1;4;1;3;6;39;3;51;;06.12.2021 14:03;1;0;4;4;0;0;1,45;22
78;;656;base;interview;06.12.2021 14:03;1;1;26;3;3;2;1;1;3;1;1;4;3;3;1;1;8;6;55;3;72;;06.12.2021 14:04;1;0;4;4;0;0;1,03;5
79;;308;base;interview;06.12.2021 14:05;1;2;23;4;3;2;1;1;3;2;3;3;4;2;4;1;5;10;58;6;79;;06.12.2021 14:07;1;0;4;4;0;0;0,86;3
80;;764;base;interview;06.12.2021 14:06;1;2;18;3;3;1;2;1;3;1;2;2;3;2;2;1;3;5;136;11;69;;06.12.2021 14:09;1;0;4;4;0;0;1;15
81;;750;base;interview;06.12.2021 14:06;1;1;18;3;3;1;2;1;3;1;2;2;3;2;3;1;5;8;108;17;125;;06.12.2021 14:09;1;0;4;4;0;0;0,68;3
82;;666;base;interview;06.12.2021 14:15;1;1;20;1;1;1;1;1;1;1;1;1;2;1;3;1;7;9;83;7;106;;06.12.2021 14:17;1;0;4;4;0;0;0,7;0
83;;661;base;interview;06.12.2021 14:16;1;2;19;4;3;2;1;2;4;2;3;1;4;2;3;1;4;7;45;3;59;;06.12.2021 14:17;1;0;4;4;0;0;1,24;14
84;;387;base;interview;06.12.2021 14:30;1;2;19;4;4;2;1;3;4;1;3;2;4;3;4;1;4;5;64;4;77;;06.12.2021 14:32;1;0;4;4;0;0;1,15;9
85;;745;base;interview;06.12.2021 14:43;1;2;19;2;3;1;1;3;2;1;1;2;3;2;3;;92;10;183;;73;;06.12.2021 14:48;0;0;3;3;0;0;0,33;0
86;;704;base;interview;06.12.2021 14:49;1;2;20;4;4;3;1;1;3;1;3;1;4;1;3;1;31;8;63;6;83;;06.12.2021 14:51;1;0;4;4;0;0;0,63;0
87;;684;base;interview;06.12.2021 14:59;1;2;20;3;3;1;1;1;3;1;1;2;3;2;3;1;4;5;38;3;50;;06.12.2021 15:00;1;0;4;4;0;0;1,38;19
88;;267;base;interview;06.12.2021 15:05;1;2;20;3;3;1;1;1;1;1;1;1;3;2;3;1;4;5;49;3;61;;06.12.2021 15:06;1;0;4;4;0;0;1,3;15
90;;760;base;interview;06.12.2021 15:07;1;2;20;2;3;1;1;2;2;1;1;1;3;3;3;1;79;7;93;11;110;;06.12.2021 15:10;1;0;4;4;0;0;0,48;0
91;;645;base;interview;06.12.2021 15:07;1;2;28;4;3;1;1;1;3;1;2;4;3;3;3;1;14;11;71;6;102;;06.12.2021 15:09;1;0;4;4;0;0;0,61;0
92;;706;base;interview;06.12.2021 15:14;1;2;19;4;4;3;2;2;4;2;2;3;4;3;4;1;6;4;45;3;58;;06.12.2021 15:15;1;0;4;4;0;0;1,28;14
93;;674;base;interview;06.12.2021 15:25;1;1;19;3;3;1;2;2;2;1;1;2;3;1;2;1;33;28;250;4;73;;06.12.2021 15:30;1;0;4;4;0;0;0,41;0
94;;724;base;interview;06.12.2021 15:25;1;2;19;3;3;1;2;1;3;1;1;1;3;2;4;1;27;5;77;4;92;;06.12.2021 15:27;1;0;4;4;0;0;0,79;3
95;;650;base;interview;06.12.2021 15:30;1;1;21;1;1;1;1;3;1;1;1;2;1;2;2;1;3;4;32;4;43;;06.12.2021 15:31;1;0;4;4;0;0;1,57;29
96;;70;base;interview;06.12.2021 15:34;1;1;32;2;1;1;1;1;2;1;2;2;3;1;3;1;228;4;59;3;72;;06.12.2021 15:39;1;0;4;4;0;0;0,96;10
97;;351;base;interview;06.12.2021 15:36;1;2;20;4;3;2;4;4;4;4;4;4;4;4;4;1;3;5;41;3;52;;06.12.2021 15:37;1;0;4;4;0;0;1,48;24
98;;757;base;interview;06.12.2021 15:45;1;2;19;4;3;3;2;2;4;3;3;3;4;3;4;1;4;6;100;4;114;;06.12.2021 15:47;1;0;4;4;0;0;1,02;6
99;;347;base;interview;06.12.2021 15:54;1;1;32;4;3;2;1;1;3;2;3;1;4;3;2;1;3;3;49;3;58;;06.12.2021 15:55;1;0;4;4;0;0;1,62;31
100;;310;base;interview;06.12.2021 16:25;1;2;20;4;3;2;1;2;3;1;2;4;4;3;2;1;13;5;65;3;86;;06.12.2021 16:27;1;0;4;4;0;0;0,97;7
101;;396;base;interview;06.12.2021 16:28;1;2;19;4;3;2;1;1;3;1;3;2;3;1;4;1;4;6;54;4;68;;06.12.2021 16:29;1;0;4;4;0;0;1,14;7
102;;229;base;interview;06.12.2021 16:32;1;2;27;3;2;1;2;1;1;1;2;3;3;2;3;1;9;8;49;3;69;;06.12.2021 16:34;1;0;4;4;0;0;0,98;6
103;;668;base;interview;06.12.2021 16:48;1;2;19;4;3;2;1;1;3;1;1;1;4;1;4;1;13;5;75;4;97;;06.12.2021 16:50;1;0;4;4;0;0;0,86;3
104;;713;base;interview;06.12.2021 17:06;1;2;18;3;3;2;1;2;3;1;2;2;4;2;3;1;166;24;105;19;121;;06.12.2021 17:12;1;0;4;4;0;0;0,26;0
105;;660;base;interview;06.12.2021 20:25;1;2;21;3;2;2;3;4;3;1;1;3;3;3;4;1;8;9;396;33;78;;06.12.2021 20:32;1;0;4;4;0;0;0,42;0
106;;683;base;interview;06.12.2021 20:39;1;2;20;3;1;2;1;1;3;1;2;4;4;3;4;1;3;7;65;5;80;;06.12.2021 20:40;1;0;4;4;0;0;1,13;13
107;;228;base;interview;06.12.2021 20:58;1;2;20;3;2;2;2;2;3;1;2;4;3;2;3;1;3;5;50;4;62;;06.12.2021 20:59;1;0;4;4;0;0;1,34;17
108;;716;base;interview;06.12.2021 21:37;1;1;19;3;3;2;2;3;3;2;3;4;3;3;3;1;4;8;46;4;62;;06.12.2021 21:38;1;0;4;4;0;0;1,12;9
109;;86;base;interview;06.12.2021 22:39;1;2;22;4;4;2;1;3;4;1;3;3;4;2;3;1;351;5;49;3;63;;06.12.2021 22:46;1;0;4;4;0;0;0,93;9
110;;680;base;interview;06.12.2021 22:46;1;2;23;3;3;1;1;1;2;1;1;1;4;1;3;1;7;5;58;5;75;;06.12.2021 22:47;1;0;4;4;0;0;0,96;3
111;;749;base;interview;06.12.2021 23:46;1;2;19;3;3;3;2;2;4;1;2;2;4;2;2;1;26;8;76;5;95;;06.12.2021 23:47;1;0;4;4;0;0;0,63;0
112;;162;base;interview;07.12.2021 01:13;1;2;21;4;3;1;2;3;3;1;4;3;4;3;3;1;4;8;50;6;68;;07.12.2021 01:14;1;0;4;4;0;0;1,01;8
113;;667;base;interview;07.12.2021 08:00;1;2;20;3;1;2;1;2;3;2;1;1;3;4;1;1;1700;6;48;4;64;;07.12.2021 08:29;1;0;4;4;0;0;0,8;2
114;;670;base;interview;07.12.2021 08:58;1;1;18;3;4;1;1;1;1;1;1;2;3;1;3;1;14;5;482;4;80;;07.12.2021 09:06;1;0;4;4;0;0;0,69;3
115;;457;base;interview;07.12.2021 09:03;1;2;25;2;3;2;1;1;2;1;2;4;3;2;2;1;3;11;140;4;75;;07.12.2021 09:06;1;0;4;4;0;0;0,99;13
116;;711;base;interview;07.12.2021 09:30;1;2;24;4;3;1;1;1;3;1;2;2;4;2;3;1;4;11;87;8;110;;07.12.2021 09:32;1;0;4;4;0;0;0,8;6
117;;702;base;interview;07.12.2021 10:47;1;2;20;3;3;1;1;2;3;1;1;1;3;2;1;1;24;6;56;5;73;;07.12.2021 10:49;1;0;4;4;0;0;0,77;0
118;;371;base;interview;07.12.2021 12:40;1;2;21;4;4;2;1;1;4;2;3;2;4;3;4;1;3;6;54;6;69;;07.12.2021 12:41;1;0;4;4;0;0;1,18;13
119;;765;base;interview;07.12.2021 12:49;1;1;18;4;4;2;1;1;4;1;3;1;4;2;4;1;3;4;50;5;62;;07.12.2021 12:50;1;0;4;4;0;0;1,36;21
